"","Id","source","SalePrice","ExterCond","ExterQual","Exterior1st","Exterior2nd","Fence","FireplaceQu","Fireplaces","Foundation","Functional","GarageArea","GarageFinish","GarageQual","GarageType","GarageYrBlt","GrLivArea","Bath"
"29",29,"train",207500,3,3,"MetalSd","MetalSd",0,4,2,"CBlock",7,-0.714517466276644,2,3,"Attchd",1957,0.196106996900572,1
"30",30,"train",68500,3,3,"MetalSd","MetalSd",0,0,0,"BrkTil",7,-1.08134860534265,1,2,"Detchd",1920,-1.93806506028279,1
"31",31,"train",40000,2,3,"BrkFace","BrkFace",3,0,0,"BrkTil",7,-1.03491428394189,1,3,"Detchd",1920,-0.363125125490995,1
"32",32,"train",149350,3,3,"HdBoard","HdBoard",3,0,0,"CBlock",7,-0.937402209000293,1,3,"Attchd",1966,-0.538996711684809,1.5
"33",33,"train",179900,3,4,"VinylSd","VinylSd",0,0,0,"PConc",7,0.0516488368358986,2,3,"Attchd",2007,-0.527140200256012,2
"34",34,"train",165500,3,3,"BrkFace","BrkFace",0,4,1,"CBlock",7,-0.120158152346914,2,3,"Attchd",1959,0.393715520713847,1.5
"35",35,"train",277500,3,5,"MetalSd","MetalSd",0,4,1,"PConc",7,0.385975950921372,3,3,"Attchd",2005,0.119039672613395,2
"36",36,"train",309000,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,1.01283928983163,3,3,"BuiltIn",2004,1.87973161978967,3.5
"37",37,"train",145000,3,3,"VinylSd","VinylSd",0,0,0,"PConc",7,0.92461407917019,1,3,"Attchd",1995,-0.797863877880198,1.5
"38",38,"train",153000,3,3,"Wd Sdng","Wd Sdng",0,3,1,"CBlock",7,0.116656886796963,3,3,"Attchd",1954,-0.40264683025365,1
"39",39,"train",109000,4,3,"VinylSd","VinylSd",0,0,0,"CBlock",7,-1.05348801250219,1,3,"Detchd",1953,-0.876907287405508,1
"40",40,"train",82000,3,3,"AsbShng","Plywood",0,0,0,"PConc",7,-2.19577231896089,0,0,"NoGarage",1894,-0.689179189782897,2
"41",41,"train",160000,3,3,"Wd Sdng","Wd Sdng",2,3,1,"CBlock",7,-0.152662177327446,2,3,"Attchd",1965,-0.349292528824065,2
"42",42,"train",170000,4,3,"VinylSd","VinylSd",0,4,2,"CBlock",7,-0.765595219817481,2,3,"Attchd",1959,-0.341388187871534,1.5
"43",43,"train",144000,3,3,"HdBoard","HdBoard",3,0,0,"CBlock",7,0.144517479637419,2,3,"Attchd",1983,-1.21877003360247,1
"44",44,"train",130250,3,3,"VinylSd","VinylSd",3,0,0,"CBlock",7,-0.765595219817481,1,3,"Detchd",1977,-1.1120614307433,1
"45",45,"train",141000,3,3,"BrkFace","Wd Sdng",0,0,0,"CBlock",7,-0.802742676938089,2,3,"Attchd",1959,-0.693131360259163,1
"46",46,"train",319900,3,5,"MetalSd","MetalSd",0,4,1,"PConc",7,0.478844593722892,2,3,"Attchd",2005,0.496471953096749,2
"47",47,"train",239686,3,4,"VinylSd","VinylSd",0,5,1,"PConc",7,0.915327214890038,2,3,"Attchd",2003,1.28097779263545,1.5
"48",48,"train",249700,3,4,"VinylSd","VinylSd",0,0,0,"PConc",7,1.6397026287419,2,3,"Attchd",2006,0.306767770236006,2
"49",49,"train",113000,3,3,"MetalSd","MetalSd",0,0,0,"BrkTil",7,-2.19577231896089,0,0,"NoGarage",1894,-0.096353618343074,2
"50",50,"train",127000,3,3,"HdBoard","HdBoard",3,0,0,"CBlock",7,-0.403407512891551,1,3,"Attchd",1966,-1.07846798169505,1
"51",51,"train",177000,3,3,"VinylSd","VinylSd",0,0,0,"PConc",7,-0.394120648611399,3,3,"Attchd",1997,-0.0607840840566846,2
"52",52,"train",114500,3,3,"Wd Sdng","Wd Sdng",3,4,1,"PConc",7,0.255959850999243,1,3,"Detchd",1985,-0.641753144067712,1
"53",53,"train",110000,3,2,"Wd Sdng","Wd Sdng",0,0,0,"CBlock",7,0.200238665318331,1,3,"CarPort",1963,-1.3531438297955,1
"54",54,"train",385000,3,4,"WdShing","Wd Shng",0,4,1,"CBlock",7,1.95545601426707,3,3,"Attchd",1981,0.674319624528696,0.5
"55",55,"train",130000,3,3,"MetalSd","MetalSd",3,3,1,"CBlock",6,0.460270865162588,1,3,"Detchd",1962,-0.278153460251287,1
"56",56,"train",180500,3,3,"HdBoard","Plywood",0,4,1,"CBlock",7,0.478844593722892,2,3,"Attchd",1964,-0.149707919772658,2
"57",57,"train",172500,3,4,"MetalSd","MetalSd",0,0,0,"PConc",7,0.0330751082755945,3,3,"Attchd",1999,0.470782845001024,2.5
"58",58,"train",196500,3,4,"VinylSd","VinylSd",0,0,0,"PConc",7,0.427766840182056,2,3,"Attchd",2004,0.433237225476502,2.5
"59",59,"train",438780,3,5,"VinylSd","VinylSd",0,4,1,"PConc",7,0.780667682827834,3,3,"BuiltIn",2006,2.85394164218911,3.5
"60",60,"train",124900,3,3,"HdBoard","HdBoard",3,0,0,"CBlock",7,-0.561284205654136,1,3,"Detchd",1973,-1.42428289836828,1
"61",61,"train",158000,3,3,"VinylSd","VinylSd",0,0,0,"PConc",7,0.478844593722892,1,3,"Detchd",2006,-0.677322678354101,1.5
"62",62,"train",101000,3,3,"MetalSd","MetalSd",0,0,0,"BrkTil",7,-0.858463862619001,1,3,"Detchd",1935,-0.77019868454634,1
"63",63,"train",202500,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,0.0516488368358986,2,3,"Attchd",2006,-0.258392607869959,2
"64",64,"train",140000,3,3,"Stucco","Stucco",4,0,0,"BrkTil",7,0.0330751082755945,1,3,"Detchd",1990,0.413476373095174,2
"65",65,"train",219500,3,3,"VinylSd","VinylSd",4,0,0,"PConc",7,0.799241411388138,2,3,"Attchd",1998,1.05372799025018,2.5
"66",66,"train",317000,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,1.76043186438387,2,3,"BuiltIn",2004,1.92122940979046,2.5
"67",67,"train",180000,3,3,"Plywood","Plywood",0,4,1,"CBlock",6,0.478844593722892,2,3,"Attchd",1970,1.39559073644715,2
"68",68,"train",226000,3,4,"VinylSd","VinylSd",0,0,0,"PConc",7,0.395262815201524,2,3,"Attchd",2003,-0.0429993169134899,2
"69",69,"train",80000,4,3,"MetalSd","MetalSd",0,0,0,"CBlock",7,-1.17421724814417,1,3,"Attchd",1945,-1.48949371122666,1
"70",70,"train",225000,3,4,"BrkFace","AsbShng",0,3,1,"CBlock",7,0.90139691846981,3,3,"Attchd",1953,1.55367755549777,2
"71",71,"train",244000,4,3,"Plywood","Plywood",0,4,2,"CBlock",7,0.200238665318331,3,3,"Attchd",1973,1.42720810025727,2
"72",72,"train",129500,3,3,"HdBoard","Plywood",0,0,0,"CBlock",7,-0.524136748533528,1,3,"Detchd",1987,-1.29583735788965,1
"73",73,"train",185000,3,3,"VinylSd","VinylSd",0,3,1,"PConc",7,-0.213026795148434,3,3,"Attchd",1998,0.429285055000236,2.5
"74",74,"train",144900,3,3,"Wd Sdng","Wd Sdng",2,0,0,"CBlock",7,0.0795094296763547,1,3,"Attchd",1989,-0.819600815499659,1
"75",75,"train",107400,4,4,"VinylSd","VinylSd",0,0,0,"CBlock",7,-0.435911537872083,1,3,"Detchd",1915,0.205987423091236,2
"76",76,"train",91000,3,3,"CemntBd","CmentBd",2,0,0,"CBlock",7,-0.816672973358317,1,3,"BuiltIn",1973,-1.01325716883667,1
"77",77,"train",135750,3,3,"VinylSd","VinylSd",0,0,0,"CBlock",7,-0.881681023319381,1,3,"Detchd",1956,-1.08439623740945,1
"78",78,"train",127000,3,3,"Wd Sdng","Wd Sdng",3,0,0,"CBlock",6,-1.08134860534265,1,3,"Detchd",1948,-0.426359853111242,1
"79",79,"train",136500,3,3,"HdBoard","HdBoard",0,0,0,"CBlock",7,-2.19577231896089,0,0,"NoGarage",1894,0.528089316906873,2
"80",80,"train",110000,3,3,"Wd Sdng","Wd Sdng",3,0,0,"PConc",7,-0.152662177327446,1,3,"Detchd",1966,-0.535044541208543,1.5
"81",81,"train",193500,4,3,"VinylSd","VinylSd",0,4,1,"CBlock",7,0.167734640337799,3,3,"Attchd",1968,1.26714519596852,2.5
"82",82,"train",153500,4,3,"VinylSd","VinylSd",0,0,0,"PConc",7,-0.315182302230107,3,3,"Attchd",1998,-0.32360342072834,2
"83",83,"train",245000,3,3,"VinylSd","VinylSd",0,4,1,"PConc",7,1.32394924321673,2,3,"Attchd",2007,0.122991843089661,2
"84",84,"train",126500,3,3,"MetalSd","MetalSd",0,0,0,"CBlock",7,-0.0551501023858498,1,3,"Detchd",1974,-0.861098605500446,1.5
"85",85,"train",168500,3,3,"HdBoard","HdBoard",0,3,1,"PConc",7,-0.338399462930487,3,3,"BuiltIn",1995,-0.0528797431041537,2.5
"86",86,"train",260000,3,4,"HdBoard","HdBoard",0,3,1,"CBlock",7,-0.0505066702457738,1,3,"Attchd",1991,1.81056863645502,2.5
"87",87,"train",174000,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,-0.338399462930487,3,3,"BuiltIn",2005,0.117063587375262,2.5
"88",88,"train",164500,3,4,"VinylSd","VinylSd",0,0,0,"PConc",7,0.255959850999243,2,3,"Detchd",2009,-0.54690105263734,2.5
"89",89,"train",85000,2,2,"Plywood","Plywood",3,0,0,"CBlock",7,-2.19577231896089,0,0,"NoGarage",1894,0.0498766892787491,1
"90",90,"train",123600,3,3,"VinylSd","VinylSd",0,0,0,"PConc",7,-2.19577231896089,0,0,"NoGarage",1894,-1.0093049983604,1
"91",91,"train",109900,3,3,"BrkFace","Wd Sdng",0,0,0,"Slab",7,-0.245530820128967,1,3,"Detchd",1950,-0.910500736453765,1
"92",92,"train",98600,3,3,"HdBoard","HdBoard",2,0,0,"CBlock",7,0.0330751082755945,1,3,"Attchd",1961,-0.52516411501788,1
"93",93,"train",163500,4,3,"Wd Sdng","Wd Sdng",0,0,0,"BrkTil",7,-0.189809634448054,1,3,"Detchd",1921,-1.06068321455185,1
"94",94,"train",133900,3,3,"MetalSd","MetalSd",0,4,1,"BrkTil",7,0.153804343917571,1,3,"Detchd",1900,1.5615818964503,2
"95",95,"train",204750,4,3,"VinylSd","VinylSd",0,0,0,"PConc",7,0.980335264851102,2,3,"Attchd",1997,0.563658851193263,2.5
"96",96,"train",185000,4,5,"VinylSd","VinylSd",0,3,1,"PConc",7,-0.245530820128967,3,3,"BuiltIn",1993,-0.0607840840566846,2.5
"97",97,"train",214000,3,4,"VinylSd","VinylSd",0,0,0,"PConc",7,-0.00407234884501362,2,3,"Attchd",1999,0.172393974042979,2
"98",98,"train",94750,3,3,"HdBoard","HdBoard",0,0,0,"CBlock",7,-0.189809634448054,3,3,"Attchd",1965,-1.06858755550438,1
"99",99,"train",83000,3,3,"Wd Sdng","Wd Sdng",0,0,0,"BrkTil",7,-0.496276155693072,1,2,"Basment",1920,-1.31559821027098,1
"100",100,"train",128950,3,3,"Plywood","Plywood",0,0,0,"CBlock",7,-2.19577231896089,0,0,"NoGarage",1894,-0.544924967399207,1.5
"101",101,"train",205000,3,3,"Plywood","Plywood",0,3,2,"PConc",7,0.0330751082755945,2,3,"Attchd",1977,0.2158678492819,2
"102",102,"train",178000,3,4,"HdBoard","HdBoard",0,3,1,"CBlock",7,0.0145013797152905,3,3,"Attchd",1985,0.456950248334094,2.5
"103",103,"train",118964,2,3,"HdBoard","HdBoard",0,0,0,"Slab",7,-0.291965141529727,1,3,"Attchd",1979,0.0676614564219438,2
"104",104,"train",198900,3,3,"VinylSd","VinylSd",0,0,0,"PConc",7,1.24036746469536,2,3,"Attchd",2009,-0.542948882161074,2
"105",105,"train",169500,2,3,"Stucco","Stucco",0,3,2,"PConc",7,-1.08134860534265,1,3,"Detchd",1951,0.62689357881351,1.5
"106",106,"train",250000,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,0.813171707808366,2,3,"Attchd",2003,0.970732410248608,2.5
"107",107,"train",1e+05,3,3,"VinylSd","VinylSd",0,0,0,"BrkTil",7,-0.928115344720141,1,2,"Detchd",1954,-0.896668139786836,1
"108",108,"train",115000,3,3,"VinylSd","VinylSd",0,0,0,"CBlock",7,-1.03491428394189,1,3,"Detchd",1948,-1.40649813122508,1
"109",109,"train",115000,3,3,"CemntBd","CmentBd",0,0,0,"CBlock",7,-2.19577231896089,0,0,"NoGarage",1894,0.0320919221355544,2
"110",110,"train",190000,3,3,"Plywood","Plywood",3,3,1,"CBlock",7,0.339541629520612,2,3,"Attchd",1977,0.678271795004962,2
"111",111,"train",136900,3,3,"Wd Sdng","Wd Sdng",0,0,0,"CBlock",7,-0.686656873436188,1,3,"Attchd",1954,0.700008732624422,2
"112",112,"train",180000,3,3,"VinylSd","VinylSd",0,3,1,"PConc",7,-0.338399462930487,3,3,"BuiltIn",2000,-0.139827493581994,2.5
"113",113,"train",383970,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,1.48182593597931,3,3,"BuiltIn",2007,2.36189641789406,2.5
"114",114,"train",217000,4,3,"Wd Sdng","Wd Sdng",3,4,2,"CBlock",7,-0.106227855926686,1,3,"Basment",1953,1.49834716883005,2
"115",115,"train",259500,3,3,"Wd Sdng","Wd Sdng",3,3,1,"CBlock",7,-1.35995453374721,1,3,"Detchd",1945,1.61888836835615,2.5
"116",116,"train",176000,3,3,"MetalSd","MetalSd",0,2,1,"PConc",7,-0.152662177327446,1,3,"Detchd",1999,-0.0844971069142776,2.5
"117",117,"train",139000,3,3,"Wd Sdng","Wd Sdng",0,1,1,"CBlock",7,-0.858463862619001,1,3,"Attchd",1962,-0.807744304070862,1
"118",118,"train",155000,3,3,"VinylSd","VinylSd",0,0,0,"PConc",7,-0.199096498728206,1,3,"Attchd",2007,-0.742533491212482,1.5
"119",119,"train",320000,3,3,"Plywood","Plywood",0,3,2,"PConc",7,0.562426372244261,1,3,"Attchd",1990,3.40131725315188,3
"120",120,"train",163990,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,-0.384833784331247,3,3,"Attchd",2005,-0.0884492773905431,2.5
"121",121,"train",180000,3,3,"Plywood","Plywood",0,3,2,"CBlock",7,0.311681036680156,1,3,"Attchd",1969,-1.01325716883667,1
"122",122,"train",1e+05,3,3,"AsbShng","AsbShng",3,0,0,"PConc",7,-0.969906233980826,1,3,"Detchd",1979,-0.746485661688747,1
"123",123,"train",136000,4,3,"MetalSd","MetalSd",0,0,0,"CBlock",7,-0.858463862619001,1,3,"Attchd",1958,-0.831457326928455,1
"124",124,"train",153900,3,4,"Plywood","Plywood",0,0,0,"PConc",7,0.265246715279395,2,3,"Attchd",1993,-0.596303183590658,2
"125",125,"train",181000,4,3,"HdBoard","HdBoard",0,3,1,"CBlock",7,-0.175879338027826,1,3,"Attchd",1979,0.168441803566714,2
"126",126,"train",84500,2,3,"Wd Sdng","Wd Sdng",0,0,0,"CBlock",7,-2.19577231896089,0,0,"NoGarage",1894,-1.47566111455973,1
"127",127,"train",128000,3,3,"Plywood","Plywood",0,3,1,"CBlock",7,-0.152662177327446,2,3,"Attchd",1977,-1.07253972598065,2
"128",128,"train",87000,4,3,"WdShing","Wd Sdng",0,3,1,"BrkTil",7,-2.19577231896089,0,0,"NoGarage",1894,-1.30571778408031,1
"129",129,"train",155000,3,3,"VinylSd","VinylSd",0,2,1,"CBlock",7,-0.092297559506458,2,3,"Attchd",1966,-0.301866483108879,1.5
"130",130,"train",150000,3,3,"Plywood","Plywood",1,0,0,"CBlock",7,1.28680178609612,2,3,"2Types",1998,-0.884811628358039,1.5
"131",131,"train",226000,3,3,"MetalSd","MetalSd",4,4,2,"CBlock",7,0.0655791332561267,3,3,"Attchd",1966,1.29678647454051,2.5
"132",132,"train",244000,3,4,"VinylSd","VinylSd",0,3,1,"PConc",7,-0.384833784331247,2,3,"BuiltIn",2000,1.09324969501284,2.5
"133",133,"train",150750,3,3,"MetalSd","MetalSd",0,0,0,"CBlock",7,0.701729336446541,1,3,"Detchd",1974,-0.343364273109667,1
"134",134,"train",220000,3,4,"VinylSd","VinylSd",0,0,0,"PConc",7,-0.00871578098508964,3,3,"Attchd",2001,-0.404622915491782,2
"135",135,"train",180000,3,3,"Plywood","Plywood",3,3,1,"CBlock",6,-0.152662177327446,2,3,"Attchd",1968,0.435213310714634,2.5
"136",136,"train",174000,3,3,"Plywood","Plywood",3,4,1,"PConc",7,0.265246715279395,1,3,"Attchd",1970,0.358145986427457,2
"137",137,"train",143000,3,3,"MetalSd","MetalSd",0,2,1,"CBlock",7,-0.71916089841672,2,3,"Attchd",1967,-0.566661905018667,2
"138",138,"train",171000,3,3,"VinylSd","VinylSd",0,0,0,"CBlock",7,1.36109670033734,1,3,"2Types",1989,0.905521597390228,3
"139",139,"train",230000,3,4,"VinylSd","VinylSd",4,3,2,"PConc",7,0.868892893489278,3,3,"Attchd",1999,0.694080476910024,2.5
"140",140,"train",231500,3,3,"VinylSd","VinylSd",3,0,0,"PConc",7,-0.0133592131251657,2,3,"Attchd",1997,0.520184975954342,2.5
"141",141,"train",115000,3,3,"HdBoard","HdBoard",0,1,1,"CBlock",7,-2.19577231896089,0,0,"NoGarage",1894,-1.25829173836513,1
"142",142,"train",260000,3,4,"VinylSd","VinylSd",0,0,0,"PConc",7,0.868892893489278,3,3,"Attchd",2005,0.46090241881036,2
"143",143,"train",166000,2,3,"BrkFace","Wd Sdng",3,0,0,"CBlock",7,1.14749882189384,1,3,"Detchd",2000,-0.228751329297968,2
"144",144,"train",204000,3,4,"VinylSd","VinylSd",0,0,0,"PConc",7,0.483488025862968,2,3,"Attchd",1999,0.000474558325430447,2
"145",145,"train",125000,3,3,"HdBoard","HdBoard",0,0,0,"CBlock",7,0.144517479637419,1,3,"Detchd",1963,0.449045907381564,2
"146",146,"train",130000,3,4,"VinylSd","VinylSd",0,0,0,"PConc",3,-0.431268105732007,1,3,"Detchd",2004,0.411500287857041,2
"147",147,"train",105000,3,3,"Wd Sdng","Wd Sdng",0,0,0,"BrkTil",7,-1.35995453374721,1,2,"Detchd",1931,-1.23655480074567,1
"148",148,"train",222500,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,-0.180522770167902,3,3,"BuiltIn",2001,1.05570407548832,2.5
"149",149,"train",141000,3,3,"VinylSd","VinylSd",0,0,0,"PConc",7,-2.19577231896089,0,0,"NoGarage",1894,-0.831457326928455,1
"150",150,"train",115000,3,3,"MetalSd","MetalSd",0,0,0,"BrkTil",7,-1.08134860534265,1,2,"Detchd",1936,-0.30977082406141,1
"151",151,"train",122000,3,3,"HdBoard","HdBoard",3,0,0,"CBlock",7,-0.152662177327446,1,3,"Attchd",1975,-1.05080278836119,1.5
"152",152,"train",372402,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,1.82543991434494,2,3,"Attchd",2007,0.413476373095174,2
"153",153,"train",190000,3,3,"HdBoard","HdBoard",2,4,1,"CBlock",7,0.102726590376735,2,3,"Attchd",1971,0.972708495486741,2.5
"154",154,"train",235000,3,3,"BrkFace","Plywood",0,4,1,"CBlock",7,0.42312340804198,2,3,"Attchd",1960,-0.491570665969623,1
"155",155,"train",125000,3,3,"Wd Sdng","Wd Sdng",0,0,0,"BrkTil",7,-0.747021491257177,1,2,"Detchd",1923,-0.594327098352526,1
"156",156,"train",79000,3,3,"Wd Sdng","Wd Sdng",0,0,0,"BrkTil",7,-2.19577231896089,0,0,"NoGarage",1894,-0.799839963118331,1
"157",157,"train",109500,3,3,"Wd Sdng","Wd Sdng",0,0,0,"CBlock",7,0.706372768586617,1,3,"Detchd",1950,-0.910500736453765,1
"158",158,"train",269500,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,0.961761536290798,3,3,"BuiltIn",2009,0.923306364533422,2.5
"159",159,"train",254900,3,4,"VinylSd","VinylSd",2,4,1,"PConc",7,0.952474672010646,2,3,"Attchd",2004,0.881808574532635,2.5
"160",160,"train",320000,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,0.478844593722892,2,3,"Attchd",2006,1.899492472171,2.5
"161",161,"train",162500,3,3,"Plywood","Plywood",0,0,0,"PConc",7,0.200238665318331,1,3,"Attchd",1984,-0.531092370732278,2
"162",162,"train",412500,3,4,"VinylSd","VinylSd",0,4,2,"PConc",7,1.1753594147343,3,3,"BuiltIn",2003,2.30656603122634,2.5
"163",163,"train",220000,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,0.274533579559547,2,3,"Attchd",2005,0.0795179678507402,2
"164",164,"train",103200,3,3,"MetalSd","MetalSd",3,0,0,"CBlock",7,-2.19577231896089,0,0,"NoGarage",1894,-1.22272220407874,1
"165",165,"train",152000,4,3,"MetalSd","MetalSd",0,0,0,"BrkTil",7,-1.19279097670447,1,3,"Detchd",1926,0.227724360710696,2
"166",166,"train",127500,4,3,"Wd Sdng","Wd Sdng",0,0,0,"BrkTil",7,-2.19577231896089,0,0,"NoGarage",1894,-0.28803388644195,2
"167",167,"train",190000,3,4,"Wd Sdng","Wd Sdng",2,4,3,"CBlock",7,-0.788812380517861,3,3,"Attchd",1955,0.723721755482015,1
"168",168,"train",325624,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,1.46789563955908,3,3,"Attchd",2007,1.30469081549304,1.5
"169",169,"train",183500,3,4,"VinylSd","VinylSd",0,4,1,"PConc",7,-0.152662177327446,3,3,"Attchd",2004,0.433237225476502,2.5
"170",170,"train",228000,3,4,"Plywood","Plywood",0,3,1,"CBlock",7,0.177021504617951,2,3,"Attchd",1981,0.407548117380776,2.5
"171",171,"train",128500,3,3,"MetalSd","MetalSd",0,0,0,"CBlock",7,0.868892893489278,1,3,"Detchd",1991,-0.234679585012366,1.5
"172",172,"train",215000,3,3,"BrkFace","Plywood",0,4,2,"CBlock",7,0.255959850999243,3,3,"Attchd",1960,0.306767770236006,1
"173",173,"train",239000,4,4,"HdBoard","HdBoard",0,3,1,"PConc",7,0.144517479637419,2,4,"Attchd",1987,0.526113231668741,2
"174",174,"train",163000,3,3,"WdShing","Wd Shng",0,3,1,"CBlock",7,0.144517479637419,1,3,"Attchd",1961,-0.274201289775021,1.5
"175",175,"train",184000,3,3,"VinylSd","Plywood",0,3,1,"CBlock",5,0.664581879325933,3,3,"Attchd",1986,0.296887344045342,2
"176",176,"train",243000,3,3,"WdShing","Wd Shng",3,4,1,"CBlock",7,0.478844593722892,1,3,"Attchd",1950,1.29876255977864,2
"177",177,"train",211000,3,4,"Plywood","Plywood",0,3,1,"PConc",7,0.223455826018711,1,3,"Attchd",1988,1.10510620644163,2.5
"178",178,"train",172500,4,4,"MetalSd","MetalSd",0,4,1,"CBlock",7,-0.10158442378661,1,3,"Attchd",1958,0.828454273103051,2
"179",179,"train",501837,3,5,"VinylSd","VinylSd",0,4,1,"PConc",7,3.21846955636774,3,3,"Attchd",2009,1.44894503787673,2
"180",180,"train",1e+05,3,4,"Wd Sdng","Wd Sdng",0,0,0,"CBlock",7,0.0330751082755945,1,2,"Detchd",1935,-1.05277887359932,1
"181",181,"train",177000,3,4,"MetalSd","MetalSd",0,3,1,"PConc",7,-0.152662177327446,1,3,"Detchd",2000,0.0479006040406163,2.5
"182",182,"train",200100,3,3,"Stucco","Stucco",0,4,1,"BrkTil",7,-1.19279097670447,1,2,"Detchd",1920,0.595276215003387,1.5
"183",183,"train",120000,3,3,"Wd Sdng","Wd Sdng",3,4,1,"PConc",7,-1.02562741966174,2,3,"Attchd",1957,-0.317675165013941,1
