Id,source,SalePrice,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,Functional,GarageArea,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,Bath,Unnamed: 0,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
11,train,129500.0,GasA,4,1Story,1,1,Lvl,Gtl,0.44882243,Inside,0.171857693,Reg,0,20,RL,0,None,none,0,2,Sawyer,3,3,HdBoard,HdBoard,0,0,0,CBlock,7,-0.412694377,1,3,Detchd,1965,-0.910500736,1.0,11,1040,0,0,,3,1Fam,TA,No,906.0,0.0,Rec,Unf,1,0,TA,134.0,Y,Norm,Norm,SBrkr,-1.07568666246,5,5,Y,0.0,None,CompShg,Hip,WD,-0.308889511743,Pave,5,0.147051754228,AllPub,-0.929191516623,1965,1965,2008
12,train,345000.0,GasA,4,2Story,1,3,Lvl,Gtl,0.571653052,Inside,0.750319132,IR1,0,60,RL,286,Stone,none,0,7,NridgHt,3,5,WdShing,Wd Shng,0,4,2,PConc,7,1.221793736,3,3,BuiltIn,2005,1.626792709,3.0,12,1182,1142,0,,4,1Fam,TA,No,998.0,0.0,GLQ,Unf,1,0,Ex,177.0,Y,Norm,Norm,SBrkr,0.304717724313,5,9,Y,0.0,None,CompShg,Hip,New,-0.308889511743,Pave,11,0.355294111814,AllPub,0.918786636625,2005,2006,2006
13,train,144000.0,GasA,2,1Story,1,1,Lvl,Gtl,0.736235919,Inside,0.255788989,IR2,0,20,RL,0,None,none,0,9,Sawyer,3,3,HdBoard,Plywood,0,0,0,CBlock,7,-0.561284206,1,3,Detchd,1962,-1.163439647,1.0,13,912,0,0,,2,1Fam,TA,No,737.0,0.0,ALQ,Unf,1,0,TA,175.0,Y,Norm,Norm,SBrkr,-1.07568666246,6,5,Y,0.0,None,CompShg,Hip,WD,3.23468805352,Pave,4,-0.0686652885316,AllPub,0.890584599608,1962,1962,2008
14,train,279500.0,GasA,4,1Story,1,2,Lvl,Gtl,0.350450882,Inside,0.953536336,IR1,0,20,RL,306,Stone,none,0,8,CollgCr,3,4,VinylSd,VinylSd,0,4,1,PConc,7,1.704710679,2,3,Attchd,2006,-0.013358038,2.0,14,1494,0,0,,3,1Fam,TA,Av,0.0,0.0,Unf,Unf,0,0,Gd,1494.0,Y,Norm,Norm,SBrkr,0.516832758302,5,7,Y,0.0,None,CompShg,Gable,New,-0.308889511743,Pave,7,0.788112867239,AllPub,0.968445953157,2006,2007,2007
15,train,157000.0,GasA,2,1Story,1,1,Lvl,Gtl,0.399176325,Corner,0.296884317,IR1,0,20,RL,212,BrkFace,none,0,5,NAmes,3,3,MetalSd,MetalSd,2,2,1,CBlock,7,-0.561284206,2,3,Attchd,1960,-0.489594581,1.5,15,1253,0,0,,2,1Fam,TA,No,733.0,0.0,BLQ,Unf,1,0,TA,520.0,Y,Norm,Norm,SBrkr,1.46598549298,5,6,Y,0.0,None,CompShg,Hip,WD,-0.308889511743,Pave,5,0.4680684852,AllPub,-0.929191516623,1960,1960,2008
16,train,132000.0,GasA,4,1.5Unf,1,1,Lvl,Gtl,-0.736260691,Corner,-0.77161634,Reg,0,45,RM,0,None,none,0,7,BrkSide,3,3,Wd Sdng,Wd Sdng,4,0,0,BrkTil,7,0.478844594,1,3,Detchd,1991,-1.278052591,1.0,16,854,0,0,,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0,0,TA,832.0,Y,Norm,Norm,FuseA,1.12656717098,8,7,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,5,-0.214476671564,AllPub,0.33874160269,1929,2001,2007
17,train,149000.0,GasA,4,1Story,1,1,Lvl,Gtl,0.455987678,CulDSac,0.296884317,IR1,0,20,RL,180,BrkFace,Shed,700,3,NAmes,3,3,Wd Sdng,Wd Sdng,0,3,1,CBlock,7,0.033075108,3,3,Attchd,1970,-0.981639805,1.0,17,1004,0,0,,2,1Fam,TA,No,578.0,0.0,ALQ,Unf,1,0,TA,426.0,Y,Norm,Norm,SBrkr,-1.07568666246,7,6,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,5,0.0883505977037,AllPub,-0.929191516623,1970,1970,2010
18,train,90000.0,GasA,2,1Story,2,1,Lvl,Gtl,0.375873742,Inside,0.255788989,Reg,0,90,RL,0,None,Shed,500,10,Sawyer,3,3,MetalSd,MetalSd,0,0,0,Slab,7,0.200238665,1,3,CarPort,1967,-0.404622915,2.0,18,1296,0,0,,2,Duplex,,,0.0,0.0,,,0,0,,0.0,Y,Norm,Norm,SBrkr,-1.07568666246,5,4,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,-4.74688154527,AllPub,-0.929191516623,1967,1967,2006
19,train,159000.0,GasA,4,1Story,1,2,Lvl,Gtl,0.843196101,Inside,-0.003449574,Reg,0,20,RL,0,None,none,0,6,SawyerW,3,3,VinylSd,VinylSd,0,0,0,PConc,7,0.478844594,1,3,Detchd,2004,-0.764270429,1.5,19,1114,0,0,,3,1Fam,TA,No,646.0,0.0,GLQ,Unf,1,0,TA,468.0,Y,RRAe,Norm,SBrkr,1.07821190947,5,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,0.263392150107,AllPub,-0.929191516623,2004,2004,2008
20,train,139000.0,GasA,2,1Story,1,1,Lvl,Gtl,-0.321901225,Inside,0.171857693,Reg,0,20,RL,0,None,none,0,5,NAmes,3,3,BrkFace,Plywood,3,0,0,CBlock,6,-0.83060327,1,3,Attchd,1958,-0.31965125,1.0,20,1339,0,0,,3,1Fam,TA,No,504.0,0.0,LwQ,Unf,0,0,TA,525.0,Y,Norm,Norm,SBrkr,-1.07568666246,6,5,Y,0.0,None,CompShg,Hip,COD,-0.308889511743,Pave,6,0.129268121803,AllPub,-0.929191516623,1958,1965,2009
21,train,325300.0,GasA,4,2Story,1,2,Lvl,Gtl,0.916273459,Corner,1.264167836,IR1,0,60,RL,380,BrkFace,none,0,11,NridgHt,3,4,VinylSd,VinylSd,0,4,1,PConc,7,1.765075297,2,3,BuiltIn,2005,1.729549142,3.5,21,1158,1218,0,,4,1Fam,TA,Av,0.0,0.0,Unf,Unf,0,0,Ex,1158.0,Y,Norm,Norm,SBrkr,1.29319086335,5,8,Y,0.0,None,CompShg,Gable,New,-0.308889511743,Pave,9,0.330024178551,AllPub,1.21833401842,2005,2006,2006
22,train,139400.0,GasA,4,1.5Unf,1,2,Bnk,Gtl,-0.350905914,Inside,-0.440234687,Reg,0,45,RM,0,None,none,0,6,IDOTRR,3,3,Wd Sdng,Wd Sdng,4,4,1,PConc,7,-0.89561132,1,3,Attchd,1930,-0.77612694,1.0,22,1108,0,0,Grvl,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0,0,TA,637.0,Y,Norm,Norm,FuseF,-1.07568666246,7,7,N,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,-0.61643549918,AllPub,-0.929191516623,1930,1950,2007
23,train,230000.0,GasA,4,1Story,1,2,Lvl,Gtl,0.175338631,Inside,0.37741257,Reg,0,20,RL,281,BrkFace,none,0,9,CollgCr,3,4,VinylSd,VinylSd,0,4,1,PConc,7,0.283820444,2,3,Attchd,2002,0.581443618,2.0,23,1795,0,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0,0,Gd,1777.0,Y,Norm,Norm,SBrkr,1.31007566268,5,8,Y,0.0,None,CompShg,Hip,WD,-0.308889511743,Pave,7,1.12071234105,AllPub,1.00801819293,2002,2002,2008
24,train,129900.0,GasA,2,1Story,1,1,Lvl,Gtl,-1.46332839,Inside,-1.211477719,Reg,0,120,RM,0,None,none,0,6,MeadowV,3,3,CemntBd,CmentBd,0,3,1,PConc,7,0.460270865,1,3,Attchd,1976,-0.870979032,1.0,24,1060,0,0,,3,TwnhsE,TA,No,840.0,0.0,GLQ,Unf,1,0,Gd,200.0,Y,Norm,Norm,SBrkr,1.11723049675,7,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,0.147051754228,AllPub,0.703633739911,1976,1976,2007
25,train,154000.0,GasA,4,1Story,1,2,Lvl,Gtl,-0.151581823,Inside,0.255788989,IR1,0,20,RL,0,None,none,0,5,Sawyer,4,3,Plywood,Plywood,3,3,1,CBlock,7,-0.942045641,1,3,Attchd,1968,-0.870979032,1.0,25,1060,0,0,,3,1Fam,TA,Mn,188.0,668.0,Rec,ALQ,1,0,TA,204.0,Y,Norm,Norm,SBrkr,1.01391788343,8,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,0.179051484886,AllPub,1.57455557068,1968,2001,2010
26,train,256300.0,GasA,4,1Story,1,2,Lvl,Gtl,0.918341573,Corner,1.518485897,Reg,0,20,RL,640,Stone,none,0,7,NridgHt,3,4,VinylSd,VinylSd,0,4,1,PConc,7,1.936882286,2,3,Attchd,2007,0.196106997,2.0,26,1600,0,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0,0,Gd,1566.0,Y,Norm,Norm,SBrkr,0.774663824489,5,8,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,7,0.876650504634,AllPub,-0.929191516623,2007,2007,2009
27,train,134800.0,GasA,2,1Story,1,2,Lvl,Gtl,-0.417574658,Corner,-0.287413293,Reg,0,20,RL,0,None,none,0,5,NAmes,3,3,Wd Sdng,Wd Sdng,0,0,0,CBlock,7,0.478844594,1,3,Detchd,2005,-1.18715267,1.0,27,900,0,0,,3,1Fam,TA,Mn,234.0,486.0,BLQ,Rec,0,1,TA,180.0,Y,Norm,Norm,SBrkr,0.502138558242,7,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,5,-0.089951106549,AllPub,1.16866854003,1951,2000,2010
28,train,306000.0,GasA,4,1Story,1,2,Lvl,Gtl,0.496900926,Inside,1.17433096,Reg,0,20,RL,200,Stone,none,0,5,NridgHt,3,4,VinylSd,VinylSd,0,4,1,PConc,7,1.388957293,2,3,Attchd,2008,0.401619862,2.0,28,1704,0,0,,3,1Fam,TA,No,1218.0,0.0,GLQ,Unf,1,0,Ex,486.0,Y,Norm,Norm,SBrkr,0.718597740719,5,8,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,7,1.0386876319,AllPub,-0.929191516623,2007,2008,2010
29,train,207500.0,GasA,2,1Story,1,1,Lvl,Gtl,1.187183623,CulDSac,-1.014964924,IR1,0,20,RL,0,None,none,0,12,NAmes,3,3,MetalSd,MetalSd,0,4,2,CBlock,7,-0.714517466,2,3,Attchd,1957,0.196106997,1.0,29,1600,0,0,,2,1Fam,TA,Gd,1277.0,0.0,BLQ,Unf,1,0,TA,207.0,Y,Norm,Norm,SBrkr,1.5695473787,6,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,0.775581426278,AllPub,1.33760036452,1957,1997,2006
30,train,68500.0,GasA,1,1Story,1,0,Lvl,Gtl,-0.67196259,Inside,-0.287413293,IR1,0,30,RM,0,None,none,0,5,BrkSide,3,3,MetalSd,MetalSd,0,0,0,BrkTil,7,-1.081348605,1,2,Detchd,1920,-1.93806506,1.0,30,520,0,0,,1,1Fam,TA,No,0.0,0.0,Unf,Unf,0,0,TA,520.0,N,Feedr,RRNn,SBrkr,-1.07568666246,6,4,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,4,-0.900986596434,AllPub,0.348233259504,1927,1950,2008
31,train,40000.0,GasA,2,2Story,1,1,Lvl,Gtl,-0.09209168,Inside,-0.830615574,Reg,0,70,C (all),0,None,none,0,7,IDOTRR,2,3,BrkFace,BrkFace,3,0,0,BrkTil,7,-1.034914284,1,3,Detchd,1920,-0.363125125,1.0,31,649,668,0,Pave,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0,0,TA,649.0,N,Feedr,Norm,SBrkr,0.756625226684,4,4,N,0.0,None,CompShg,Gambrel,WD,-0.308889511743,Pave,6,-0.589383519896,AllPub,-0.929191516623,1920,1950,2008
32,train,149350.0,GasA,3,1Story,1,2,Lvl,Gtl,-0.081967236,CulDSac,0.255788989,IR1,0,20,RL,0,None,none,0,6,Sawyer,3,3,HdBoard,HdBoard,3,0,0,CBlock,7,-0.937402209,1,3,Attchd,1966,-0.538996712,1.5,32,1228,0,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0,0,TA,1228.0,Y,Norm,Norm,SBrkr,0.849040942506,6,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,0.432471233904,AllPub,-0.929191516623,1966,2006,2008
33,train,179900.0,GasA,4,1Story,1,2,Lvl,Gtl,0.422205241,Corner,0.750319132,Reg,0,20,RL,0,None,none,0,1,CollgCr,3,4,VinylSd,VinylSd,0,0,0,PConc,7,0.051648837,2,3,Attchd,2007,-0.5271402,2.0,33,1234,0,0,,3,1Fam,TA,Av,0.0,0.0,Unf,Unf,0,0,Ex,1234.0,Y,Norm,Norm,SBrkr,0.471435816564,5,8,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,7,0.441060473073,AllPub,-0.929191516623,2007,2007,2008
34,train,165500.0,GasA,3,1Story,1,2,Lvl,Gtl,0.331955023,Inside,0.171857693,IR1,0,20,RL,0,None,none,0,4,NAmes,3,3,BrkFace,BrkFace,0,4,1,CBlock,7,-0.120158152,2,3,Attchd,1959,0.393715521,1.5,34,1700,0,0,,4,1Fam,TA,No,1018.0,0.0,Rec,Unf,0,1,TA,380.0,Y,Norm,Norm,SBrkr,0.584648535439,5,5,Y,0.0,None,CompShg,Hip,WD,-0.308889511743,Pave,6,0.665293030642,AllPub,-0.929191516623,1959,1959,2010
35,train,277500.0,GasA,4,1Story,1,3,Lvl,Gtl,-0.387038169,Inside,-0.287413293,Reg,0,120,RL,246,BrkFace,none,0,8,NridgHt,3,5,MetalSd,MetalSd,0,4,1,PConc,7,0.385975951,3,3,Attchd,2005,0.119039673,2.0,35,1561,0,0,,2,TwnhsE,TA,No,1153.0,0.0,GLQ,Unf,1,0,Ex,408.0,Y,Norm,Norm,SBrkr,0.688169409438,5,9,Y,0.0,None,CompShg,Hip,WD,-0.308889511743,Pave,6,0.870595175452,AllPub,1.11263379664,2005,2005,2007
36,train,309000.0,GasA,4,2Story,1,2,Lvl,Gtl,0.803127297,Inside,1.463817134,Reg,0,60,RL,132,Stone,none,0,9,NridgHt,3,4,VinylSd,VinylSd,0,4,1,PConc,7,1.01283929,3,3,BuiltIn,2004,1.87973162,3.5,36,1132,1320,0,,4,1Fam,TA,Av,0.0,0.0,Unf,Unf,0,0,Ex,1117.0,Y,Norm,Norm,SBrkr,0.502138558242,5,8,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,9,0.267993134195,AllPub,0.770040727202,2004,2005,2006
37,train,145000.0,GasA,4,1Story,1,1,Lvl,Gtl,0.388191779,Corner,1.572169583,Reg,0,20,RL,0,None,none,0,6,CollgCr,3,3,VinylSd,VinylSd,0,0,0,PConc,7,0.924614079,1,3,Attchd,1995,-0.797863878,1.5,37,1097,0,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0,0,Gd,1097.0,Y,Norm,Norm,SBrkr,0.841269757994,5,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,0.237154892344,AllPub,1.54957930425,1994,1995,2009
38,train,153000.0,GasA,3,1Story,1,1,Lvl,Gtl,-0.084723268,Inside,0.337420506,Reg,0,20,RL,650,BrkFace,none,0,10,NAmes,3,3,Wd Sdng,Wd Sdng,0,3,1,CBlock,7,0.116656887,3,3,Attchd,1954,-0.40264683,1.0,38,1297,0,0,,3,1Fam,TA,No,1213.0,0.0,Rec,Unf,0,1,TA,84.0,Y,Norm,Norm,SBrkr,-1.07568666246,6,5,Y,0.0,None,CompShg,Hip,WD,-0.308889511743,Pave,5,0.529531412802,AllPub,-0.929191516623,1954,1990,2009
39,train,109000.0,GasA,2,1Story,1,2,Lvl,Gtl,-0.230184245,Inside,0.085493269,Reg,0,20,RL,0,None,none,0,1,NAmes,4,3,VinylSd,VinylSd,0,0,0,CBlock,7,-1.053488013,1,3,Detchd,1953,-0.876907287,1.0,39,1057,0,0,,3,1Fam,TA,No,731.0,0.0,GLQ,Unf,1,0,TA,326.0,Y,Norm,Norm,SBrkr,0.737952378938,7,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,5,0.174278597528,AllPub,-0.929191516623,1953,2007,2010
40,train,82000.0,GasA,2,1Story,2,0,Lvl,Gtl,-0.762062595,Inside,-0.048936931,Reg,0,90,RL,0,None,none,0,6,Edwards,3,3,AsbShng,Plywood,0,0,0,PConc,7,-2.195772319,0,0,NoGarage,1894,-0.68917919,2.0,40,1152,0,0,,2,Duplex,,,0.0,0.0,,,0,0,,0.0,N,Norm,Norm,FuseP,-1.07568666246,5,4,N,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,-4.74688154527,AllPub,-0.929191516623,1955,1955,2008
41,train,160000.0,GasA,4,1Story,1,1,Lvl,Gtl,-0.055976335,Inside,0.715059975,Reg,0,20,RL,101,BrkFace,none,0,12,NAmes,3,3,Wd Sdng,Wd Sdng,2,3,1,CBlock,7,-0.152662177,2,3,Attchd,1965,-0.349292529,2.0,41,1324,0,0,,3,1Fam,TA,No,643.0,0.0,Rec,Unf,0,0,TA,445.0,Y,Norm,Norm,SBrkr,1.23545112725,5,6,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,0.223149307547,AllPub,-0.929191516623,1965,1965,2006
42,train,170000.0,GasA,3,1Story,1,1,Lvl,Gtl,1.256123196,Inside,1.650923878,Reg,0,20,RL,0,None,none,0,7,Timber,4,3,VinylSd,VinylSd,0,4,2,CBlock,7,-0.76559522,2,3,Attchd,1959,-0.341388188,1.5,42,1328,0,0,,2,1Fam,TA,Gd,967.0,0.0,BLQ,Unf,0,1,TA,383.0,Y,Norm,Norm,SBrkr,1.08822964041,6,5,P,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,5,0.601659499431,AllPub,-0.929191516623,1959,1959,2007
43,train,144000.0,GasA,3,SFoyer,1,2,Lvl,Gtl,0.058822487,CulDSac,0.041353736,IR1,0,85,RL,0,None,none,0,12,SawyerW,3,3,HdBoard,HdBoard,3,0,0,CBlock,7,0.14451748,2,3,Attchd,1983,-1.218770034,1.0,43,884,0,0,,2,1Fam,TA,Av,747.0,93.0,ALQ,LwQ,1,0,Gd,0.0,Y,Norm,Norm,SBrkr,-1.07568666246,7,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,5,-0.199465500853,AllPub,1.21833401842,1983,1983,2007
44,train,130250.0,GasA,2,1Story,1,1,Lvl,Gtl,0.063089989,CulDSac,0.171857693,IR1,0,20,RL,0,None,none,0,7,CollgCr,3,3,VinylSd,VinylSd,3,0,0,CBlock,7,-0.76559522,1,3,Detchd,1977,-1.112061431,1.0,44,938,0,0,,3,1Fam,TA,Av,280.0,491.0,LwQ,BLQ,1,0,Gd,167.0,Y,Norm,Norm,SBrkr,-1.07568666246,6,5,Y,0.0,None,CompShg,Hip,WD,-0.308889511743,Pave,5,-0.0232090950108,AllPub,0.910839759414,1975,1980,2008
45,train,141000.0,GasA,4,1Story,1,1,Lvl,Gtl,-0.224499351,Inside,0.171857693,Reg,0,20,RL,0,None,none,0,5,NAmes,3,3,BrkFace,Wd Sdng,0,0,0,CBlock,7,-0.802742677,2,3,Attchd,1959,-0.69313136,1.0,45,1150,0,0,,3,1Fam,TA,No,179.0,506.0,ALQ,BLQ,1,0,TA,465.0,Y,Norm,Norm,FuseA,-1.07568666246,6,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,0.31804259939,AllPub,-0.929191516623,1959,1959,2006
46,train,319900.0,GasA,4,1Story,1,3,Lvl,Gtl,-0.296645283,Inside,-0.238166485,Reg,0,120,RL,412,BrkFace,none,0,2,NridgHt,3,5,MetalSd,MetalSd,0,4,1,PConc,7,0.478844594,2,3,Attchd,2005,0.496471953,2.0,46,1752,0,0,,2,TwnhsE,TA,No,456.0,0.0,GLQ,Unf,1,0,Ex,1296.0,Y,Norm,Norm,SBrkr,0.966412913953,5,9,Y,0.0,None,CompShg,Hip,WD,-0.308889511743,Pave,6,1.09289168599,AllPub,1.09093409036,2005,2005,2010
